time,datapoint,units
1,15.3,mm
2,66.0,mm
3,272.5,mm
4,814.8,mm
5,1944.9,mm
6,3986.8,mm
7,7336.5,mm
8,12462.0,mm
9,19903.3,mm
10,30272.4,mm
11,44253.3,mm
12,62602.0,mm
13,86146.5,mm
14,115786.8,mm
15,152494.9,mm
16,197314.8,mm
17,251362.5,mm
18,315826.0,mm
19,391965.3,mm
20,481112.4,mm
21,584671.3,mm
22,704118.0,mm
23,841000.5,mm
24,996938.8,mm
25,1173624.9,mm
26,1372822.8,mm
27,1596368.5,mm
28,1846170.0,mm
29,2124207.3,mm
30,2432532.4,mm
31,2773269.3,mm
32,3148614.0,mm
33,3560834.5,mm
34,4012270.8,mm
35,4505334.9,mm
36,5042510.8,mm
37,5626354.5,mm
38,6259494.0,mm
39,6944629.3,mm
40,7684532.4,mm
41,8482047.3,mm
42,9340090.0,mm
43,10261648.5,mm
44,11249782.8,mm
45,12307624.9,mm
46,13438378.8,mm
47,14645320.5,mm
48,15931798.0,mm
49,17301231.3,mm
50,18757112.4,mm
51,20303005.3,mm
52,21942546.0,mm
53,23679442.5,mm
54,25517474.8,mm
55,27460494.9,mm
56,29512426.8,mm
57,31677266.5,mm
58,33959082.0,mm
59,36362013.3,mm
60,38890272.4,mm
61,41548143.3,mm
62,44339982.0,mm
63,47270216.5,mm
64,50343346.8,mm
65,53563944.9,mm
66,56936654.8,mm
67,60466192.5,mm
68,64157346.0,mm
69,68014975.3,mm
70,72044012.4,mm
71,76249461.3,mm
72,80636398.0,mm
73,85209970.5,mm
74,89975398.8,mm
75,94937974.9,mm
76,100103062.8,mm
77,105476098.5,mm
78,111062590.0,mm
79,116868117.3,mm
80,122898332.4,mm
81,129158959.3,mm
82,135655794.0,mm
83,142394704.5,mm
84,149381630.8,mm
85,156622584.9,mm
86,164123650.8,mm
87,171890984.5,mm
88,179930814.0,mm
89,188249439.3,mm
90,196853232.4,mm
91,205748637.3,mm
92,214942170.0,mm
93,224440418.5,mm
94,234250042.8,mm
95,244377774.9,mm
96,254830418.8,mm
97,265614850.5,mm
98,276738018.0,mm
99,288206941.3,mm
100,300028712.4,mm
101,312210495.3,mm
102,324759526.0,mm
103,337683112.5,mm
104,350988634.8,mm
105,364683544.9,mm
106,378775366.8,mm
107,393271696.5,mm
108,408180202.0,mm
109,423508623.3,mm
110,439264772.4,mm
111,455456533.3,mm
112,472091862.0,mm
113,489178786.5,mm
114,506725406.8,mm
115,524739894.9,mm
116,543230494.8,mm
117,562205522.5,mm
118,581673366.0,mm
119,601642485.3,mm
120,622121412.4,mm
121,643118751.3,mm
122,664643178.0,mm
123,686703440.5,mm
124,709308358.8,mm
125,732466824.9,mm
126,756187802.8,mm
127,780480328.5,mm
128,805353510.0,mm
129,830816527.3,mm
130,856878632.4,mm
131,883549149.3,mm
132,910837474.0,mm
133,938753074.5,mm
134,967305490.8,mm
135,996504334.9,mm
136,1026359290.8,mm
137,1056880114.5,mm
138,1088076634.0,mm
139,1119958749.3,mm
140,1152536432.4,mm
141,1185819727.3,mm
142,1219818750.0,mm
143,1254543688.5,mm
144,1290004802.8,mm
145,1326212424.9,mm
146,1363176958.8,mm
147,1400908880.5,mm
148,1439418738.0,mm
149,1478717151.3,mm
150,1518814812.4,mm
151,1559722485.3,mm
152,1601451006.0,mm
153,1644011282.5,mm
154,1687414294.8,mm
155,1731671094.9,mm
156,1776792806.8,mm
157,1822790626.5,mm
158,1869675822.0,mm
159,1917459733.3,mm
160,1966153772.4,mm
161,2015769423.3,mm
162,2066318242.0,mm
163,2117811856.5,mm
164,2170261966.8,mm
165,2223680344.9,mm
166,2278078834.8,mm
167,2333469352.5,mm
168,2389863886.0,mm
169,2447274495.3,mm
170,2505713312.4,mm
171,2565192541.3,mm
172,2625724458.0,mm
173,2687321410.5,mm
174,2749995818.8,mm
175,2813760174.9,mm
176,2878627042.8,mm
177,2944609058.5,mm
